city_mpg,class,combination_mpg,cylinders,displacement,drive,fuel_type,highway_mpg,make,model,transmission,year,mpg_diff,engine_efficiency,engine_power_density,size_category,drivetrain_type,vehicle_age,fuel_efficiency_category,is_high_performance,is_luxury,is_electric,is_diesel,is_hybrid,is_automatic,is_manual,make_encoded,class_encoded,drive_encoded,fuel_type_encoded,transmission_encoded,size_category_encoded,drivetrain_type_encoded,city_mpg_scaled,combination_mpg_scaled,cylinders_scaled,displacement_scaled,highway_mpg_scaled,year_scaled,vehicle_age_scaled,engine_efficiency_scaled
20,two seater,23,6.0,3.0,rwd,gas,28,jaguar,f-type coupe,a,2015,8,7.641196013289037,0.49916805324459235,sports,rear_wheel,9,medium,1,1,0,0,0,1,0,15,12,3,2,0,4,3,-0.17936157310012027,-0.14308790532910853,0.3943888756301469,0.06275304430908452,-0.08923083622675736,-1.2649110640673518,1.2649110640673518,-0.0640080713473509
26,midsize car,30,4.0,2.5,fwd,gas,37,mazda,6,a,2016,11,11.952191235059763,0.6234413965087282,medium,front_wheel,8,medium,0,0,0,0,0,1,0,19,2,2,2,0,1,2,0.5577407821058531,0.7937971890876726,-0.7266130964452053,-0.33487569267244005,1.229254654288015,-0.9486832980505138,0.9486832980505138,-0.057607890320588176
28,midsize car,32,4.0,2.5,fwd,gas,38,mazda,6,a,2016,10,12.749003984063746,0.6234413965087282,medium,front_wheel,8,high,0,0,0,0,0,1,0,19,2,2,2,0,1,2,0.8034415671745109,1.0614786446353244,-0.7266130964452053,-0.33487569267244005,1.3757530421229895,-0.9486832980505138,0.9486832980505138,-0.05642492778509196
25,midsize car,29,4.0,2.5,fwd,gas,36,mazda,6,m,2016,11,11.55378486055777,0.6234413965087282,medium,front_wheel,8,medium,0,0,0,0,0,0,1,19,2,2,2,1,1,2,0.43489038957152415,0.6599564613138468,-0.7266130964452053,-0.33487569267244005,1.0827562664530401,-0.9486832980505138,0.9486832980505138,-0.05819937158833628
18,small sport utility vehicle,21,6.0,3.3,awd,gas,25,kia,sorento fe awd,a,2016,7,6.344410876132931,0.5490848585690515,suv_small,all_wheel,8,medium,1,0,0,0,0,1,0,17,7,1,2,0,6,0,-0.4250623581687781,-0.4107693608767603,0.3943888756301469,0.3013302864979991,-0.5287259997316814,-0.9486832980505138,0.9486832980505138,-0.0659333018808251
20,small sport utility vehicle,23,4.0,2.0,fwd,gas,27,kia,sorento fwd,a,2016,7,11.442786069651742,0.49875311720698257,suv_small,front_wheel,8,medium,0,0,0,0,0,1,0,17,7,2,2,0,6,2,-0.17936157310012027,-0.14308790532910853,-0.7266130964452053,-0.7325044296539646,-0.23572922406173205,-0.9486832980505138,0.9486832980505138,-0.05836416238930092
21,small sport utility vehicle,24,4.0,2.4,fwd,gas,28,kia,sorento fwd,a,2016,7,9.958506224066392,0.5985037406483791,suv_small,front_wheel,8,medium,0,0,0,0,0,1,0,17,7,2,2,0,6,2,-0.056511180565791394,-0.009247177555282664,-0.7266130964452053,-0.414401440068745,-0.08923083622675736,-0.9486832980505138,0.9486832980505138,-0.06056775093844799
18,small sport utility vehicle,20,6.0,3.3,fwd,gas,25,kia,sorento fwd,a,2016,7,6.042296072507553,0.5490848585690515,suv_small,front_wheel,8,low,1,0,0,0,0,1,0,17,7,2,2,0,6,2,-0.4250623581687781,-0.5446100886505861,0.3943888756301469,0.3013302864979991,-0.5287259997316814,-0.9486832980505138,0.9486832980505138,-0.06638182695093016
26,small sport utility vehicle,29,4.0,2.0,fwd,gas,34,mazda,cx-5 2wd,m,2016,8,14.427860696517415,0.49875311720698257,suv_small,front_wheel,8,medium,0,0,0,0,0,0,1,19,7,2,2,1,6,2,0.5577407821058531,0.6599564613138468,-0.7266130964452053,-0.7325044296539646,0.7897594907830908,-0.9486832980505138,0.9486832980505138,-0.053932466920501694
26,small sport utility vehicle,29,4.0,2.5,fwd,gas,33,mazda,cx-5 2wd,a,2016,7,11.55378486055777,0.6234413965087282,suv_small,front_wheel,8,medium,0,0,0,0,0,1,0,19,7,2,2,0,6,2,0.5577407821058531,0.6599564613138468,-0.7266130964452053,-0.33487569267244005,0.6432611029481161,-0.9486832980505138,0.9486832980505138,-0.05819937158833628
19,small sport utility vehicle,21,4.0,2.0,awd,gas,25,kia,sorento awd,a,2016,6,10.447761194029852,0.49875311720698257,suv_small,all_wheel,8,medium,0,0,0,0,0,1,0,17,7,1,2,0,6,0,-0.3022119656344492,-0.4107693608767603,-0.7266130964452053,-0.7325044296539646,-0.5287259997316814,-0.9486832980505138,0.9486832980505138,-0.05984139421223401
